Service_Name,Code,Endpoint_Type,HTTP_Method,Endpoint_Path,Endpoint_Description,Virtual_URL,Physical_Location,Discovery_Method,Configuration_Source,File_Path,Line_Number,Method_Name,Parameters,Authentication,Access_Level,Business_Domain,Framework_Version,Route_Pattern,Endpoint_Status,Dependencies,Notes
PolicyService,POL001,REST_API,GET,/api/v1/policies/{policyId},Retrieve policy details by policy ID,https://api.internal.com/api/v1/policies/{policyId},src/Controllers/PolicyController.cs,Pattern_Detection,Route_Attribute,src/Controllers/PolicyController.cs,45,GetPolicyById,policyId,JWT Bearer,Internal,Policy,.NET 6,/api/v1/policies/{policyId},Active,PolicyRepository,Returns complete policy information including coverage details
PolicyService,POL002,REST_API,POST,/api/v1/policies,Create a new insurance policy,https://api.internal.com/api/v1/policies,src/Controllers/PolicyController.cs,Pattern_Detection,Route_Attribute,src/Controllers/PolicyController.cs,78,CreatePolicy,PolicyCreateRequest,JWT Bearer,Internal,Policy,.NET 6,/api/v1/policies,Active,PolicyRepository,Validates policy data and creates new policy record
PolicyService,POL003,REST_API,GET,/api/v1/policies/search,Search policies by various criteria,https://agent.portal.com/api/v1/policies/search,src/Controllers/PolicyController.cs,Pattern_Detection,Route_Attribute,src/Controllers/PolicyController.cs,112,SearchPolicies,SearchCriteria,JWT Bearer,Agent,Policy,.NET 6,/api/v1/policies/search,Active,PolicyRepository,Supports filtering by customer ID agent territory and policy status
ClaimsService,CLM001,REST_API,POST,/api/v1/claims,Submit a new insurance claim,https://api.customer.com/api/v1/claims,src/Controllers/ClaimsController.cs,Pattern_Detection,Route_Attribute,src/Controllers/ClaimsController.cs,34,SubmitClaim,ClaimSubmissionRequest,JWT Bearer,Customer,Claims,.NET 6,/api/v1/claims,Active,ClaimsRepository,Customer-facing endpoint for claim submission
ClaimsService,CLM002,REST_API,GET,/api/v1/claims/{claimId}/status,Get current claim status and details,https://api.customer.com/api/v1/claims/{claimId}/status,src/Controllers/ClaimsController.cs,Pattern_Detection,Route_Attribute,src/Controllers/ClaimsController.cs,67,GetClaimStatus,claimId,JWT Bearer,Customer,Claims,.NET 6,/api/v1/claims/{claimId}/status,Active,ClaimsRepository,Returns claim status processing updates and estimated resolution
ClaimsService,CLM003,REST_API,PUT,/api/v1/claims/{claimId}/status,Update claim processing status,https://api.internal.com/api/v1/claims/{claimId}/status,src/Controllers/ClaimsController.cs,Pattern_Detection,Route_Attribute,src/Controllers/ClaimsController.cs,89,UpdateClaimStatus,claimId StatusUpdateRequest,JWT Bearer,Internal,Claims,.NET 6,/api/v1/claims/{claimId}/status,Active,ClaimsRepository,Internal endpoint for claim processors to update status
CustomerService,CUS001,REST_API,GET,/api/v1/customers/{customerId},Retrieve customer profile information,https://api.internal.com/api/v1/customers/{customerId},src/Controllers/CustomerController.cs,Pattern_Detection,Route_Attribute,src/Controllers/CustomerController.cs,23,GetCustomerProfile,customerId,JWT Bearer,Internal,Customers,.NET 6,/api/v1/customers/{customerId},Active,CustomerRepository,Complete customer profile including contact information and preferences
CustomerService,CUS002,REST_API,PUT,/api/v1/customers/{customerId},Update customer profile information,https://api.customer.com/api/v1/customers/{customerId},src/Controllers/CustomerController.cs,Pattern_Detection,Route_Attribute,src/Controllers/CustomerController.cs,56,UpdateCustomerProfile,customerId CustomerUpdateRequest,JWT Bearer,Customer,Customers,.NET 6,/api/v1/customers/{customerId},Active,CustomerRepository,Customer self-service endpoint for profile updates
AgentService,AGT001,REST_API,GET,/api/v1/agents/{agentId}/dashboard,Get agent dashboard with key metrics,https://agent.portal.com/api/v1/agents/{agentId}/dashboard,src/Controllers/AgentController.cs,Pattern_Detection,Route_Attribute,src/Controllers/AgentController.cs,41,GetAgentDashboard,agentId,JWT Bearer,Agent,Agent,.NET 6,/api/v1/agents/{agentId}/dashboard,Active,AgentRepository,Dashboard showing sales metrics commission info and pending tasks
BillingService,BIL001,REST_API,POST,/api/v1/billing/payments,Process insurance premium payment,https://api.customer.com/api/v1/billing/payments,src/Controllers/BillingController.cs,Pattern_Detection,Route_Attribute,src/Controllers/BillingController.cs,28,ProcessPayment,PaymentRequest,JWT Bearer,Customer,Billing,.NET 6,/api/v1/billing/payments,Active,PaymentRepository,Secure payment processing with multiple payment methods
SystemHealth,SYS001,REST_API,GET,/health,System health check endpoint,https://api.internal.com/health,src/Controllers/HealthController.cs,Pattern_Detection,Route_Attribute,src/Controllers/HealthController.cs,15,HealthCheck,,None,Public,System,.NET 6,/health,Active,,Simple health check returning system status
SystemHealth,SYS002,REST_API,GET,/api/v1/status,Detailed application status and diagnostics,https://admin.internal.com/api/v1/status,src/Controllers/StatusController.cs,Pattern_Detection,Route_Attribute,src/Controllers/StatusController.cs,22,GetDetailedStatus,,API Key,Admin,System,.NET 6,/api/v1/status,Active,DiagnosticsService,Comprehensive system diagnostics including database connectivity and external service status
